First_Name,Last_Name,Name,pos,secondpos,Height,Weight,BirthDay,BirthMonth,Birth Year,Hand,DraftYear,Ovr,Cls,Med,3PT,Finish,Technic,Defense,Url
Michael,Jordan,Michael Jordan,SG,SF,198,195,17,2,1984,Right hand,1984,1,100,100,80,100,100,100,https://cdn.nba.com/headshots/nba/latest/260x190/893.png
Kevin,Durant,Kevin Durant,SF,PF,207,240,29,9,1982,Right hand,2007,2,100,100,80,100,100,80,https://cdn.nba.com/headshots/nba/latest/260x190/201142.png
Michael,Jordan,Michael Jordan,SG,SF,198,216,17,2,1981,Right hand,1984,3,100,100,80,100,100,100,https://cdn.nba.com/headshots/nba/latest/260x190/893.png
Michael,Jordan,Michael Jordan,SG,SF,198,216,17,2,1980,Right hand,1984,3,100,100,80,100,100,100,https://cdn.nba.com/headshots/nba/latest/260x190/893.png
Michael,Jordan,Michael Jordan,SG,SF,198,205,17,2,1984,Right hand,1984,5,100,100,80,100,100,100,https://cdn.nba.com/headshots/nba/latest/260x190/893.png
Michael,Jordan,Michael Jordan,SG,SF,198,200,17,2,1986,Right hand,1984,6,100,100,80,100,100,100,https://cdn.nba.com/headshots/nba/latest/260x190/893.png
Michael,Jordan,Michael Jordan,SG,SF,198,205,17,2,1985,Right hand,1984,7,100,100,60,100,100,100,https://cdn.nba.com/headshots/nba/latest/260x190/893.png
Larry,Bird,Larry Bird,SF,PF,206,220,7,12,1984,Right hand,1979,8,100,100,100,60,100,100,https://cdn.nba.com/headshots/nba/latest/260x190/1449.png
Rick,Barry,Rick Barry,SF,-,201,205.4,16,10,1991,Right hand,1947,9,100,100,100,100,100,100,https://cdn.nba.com/headshots/nba/latest/260x190/600013.png
LeBron,James,LeBron James,PG,SF,203,250,30,12,1978,Right hand,2003,10,100,100,80,100,100,100,https://cdn.nba.com/headshots/nba/latest/260x190/2544.png
Michael,Jordan,Michael Jordan,SG,SF,198,199.4,17,2,1987,Right hand,1984,11,100,100,80,100,100,100,https://cdn.nba.com/headshots/nba/latest/260x190/893.png
Reggie,Miller,Reggie Miller,SG,-,201,185,24,8,1981,Right hand,1947,12,100,100,100,100,100,80,https://cdn.nba.com/headshots/nba/latest/260x190/397.png
Dirk,Nowitzki,Dirk Nowitzki,PF,C,213,245,19,6,1980,Right hand,1998,13,100,100,100,60,80,100,https://cdn.nba.com/headshots/nba/latest/260x190/1717.png
Reggie,Miller,Reggie Miller,SG,-,201,185,24,8,1979,Right hand,1947,14,100,100,100,100,100,60,https://cdn.nba.com/headshots/nba/latest/260x190/397.png
Kevin,Durant,Kevin Durant,SF,SG,208,230,29,9,1990,Right hand,2007,15,100,100,80,80,100,100,https://cdn.nba.com/headshots/nba/latest/260x190/201142.png
Kevin,Durant,Kevin Durant,SF,SG,208,230,29,9,1989,Right hand,2007,16,100,100,80,80,100,100,https://cdn.nba.com/headshots/nba/latest/260x190/201142.png
Larry,Bird,Larry Bird,SF,PF,206,220,7,12,1978,Right hand,1979,17,100,100,100,60,100,80,https://cdn.nba.com/headshots/nba/latest/260x190/1449.png
LeBron,James,LeBron James,SF,PF,203,250,30,12,1985,Right hand,2003,18,100,100,100,100,100,100,https://cdn.nba.com/headshots/nba/latest/260x190/2544.png
Magic,Johnson,Magic Johnson,PG,SG,206,220,14,8,1981,Right hand,1979,19,100,80,80,80,100,100,https://cdn.nba.com/headshots/nba/latest/260x190/77142.png
Kobe,Bryant,Kobe Bryant,SG,-,198,205,23,8,1984,Right hand,1996,20,100,100,100,100,100,80,https://cdn.nba.com/headshots/nba/latest/260x190/977.png
Magic,Johnson,Magic Johnson,PG,SG,206,220,14,8,1986,Right hand,1979,21,100,80,60,100,100,100,https://cdn.nba.com/headshots/nba/latest/260x190/77142.png
Magic,Johnson,Magic Johnson,PG,SG,206,220,14,8,1982,Right hand,1979,22,100,80,80,80,100,100,https://cdn.nba.com/headshots/nba/latest/260x190/77142.png
Alex,English,Alex English,SF,-,201,190,22,8,1982,Right hand,1947,23,100,100,80,100,100,80,https://cdn.nba.com/headshots/nba/latest/260x190/logoman.png
Michael,Jordan,Michael Jordan,SG,SF,198,200,17,2,1988,Right hand,1984,24,100,80,60,100,100,100,https://cdn.nba.com/headshots/nba/latest/260x190/893.png
Giannis,Antetokounmpo,Giannis Antetokounmpo,PF,SF,211,215,16,12,1988,Right hand,2013,25,100,80,60,100,100,100,https://cdn.nba.com/headshots/nba/latest/260x190/203507.png
Rick,Barry,Rick Barry,SF,-,201,205.4,28,3,1983,Right hand,1965,26,100,100,100,80,100,100,https://cdn.nba.com/headshots/nba/latest/260x190/600013.png
Dale,Ellis,Dale Ellis,SG,SF,201,205,7,6,1987,Right hand,1947,27,100,100,100,100,100,80,https://cdn.nba.com/headshots/nba/latest/260x190/107.png
Kevin,Durant,Kevin Durant,SF,PF,207,240,29,9,1983,Right hand,2007,28,100,100,80,80,100,100,https://cdn.nba.com/headshots/nba/latest/260x190/201142.png
Kawhi,Leonard,Kawhi Leonard,SF,SG,201,230,29,6,1985,Right hand,2011,29,100,100,80,100,100,100,https://cdn.nba.com/headshots/nba/latest/260x190/202695.png
George,Gervin,George Gervin,SG,SF,201,185,27,4,1983,Right hand,1976,30,100,100,80,100,100,100,https://cdn.nba.com/headshots/nba/latest/260x190/76804.png
Reggie,Miller,Reggie Miller,SG,-,201,185,24,8,1984,Right hand,1947,31,100,100,100,100,100,60,https://cdn.nba.com/headshots/nba/latest/260x190/397.png
Paul,George,Paul George,SG,SF,208,220,2,5,1984,Right hand,2010,32,100,100,80,100,80,80,https://cdn.nba.com/headshots/nba/latest/260x190/202331.png
Stephen,Curry,Stephen Curry,PG,SG,191,185,14,3,1982,Right hand,2009,33,100,100,100,80,100,80,https://cdn.nba.com/headshots/nba/latest/260x190/201939.png
Kobe,Bryant,Kobe Bryant,SG,-,198,205,23,8,1982,Right hand,1996,34,100,100,80,100,100,80,https://cdn.nba.com/headshots/nba/latest/260x190/977.png
Magic,Johnson,Magic Johnson,PG,SG,206,220,14,8,1985,Right hand,1979,35,100,80,60,100,100,100,https://cdn.nba.com/headshots/nba/latest/260x190/77142.png
Michael,Jordan,Michael Jordan,SG,SF,198,216,17,2,1982,Right hand,1984,36,100,100,80,100,100,80,https://cdn.nba.com/headshots/nba/latest/260x190/893.png
Vince,Carter,Vince Carter,SG,SF,198,220,26,1,1990,Right hand,1998,37,100,100,80,100,100,100,https://cdn.nba.com/headshots/nba/latest/260x190/1713.png
